drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2013,10,2,Caleb Smith,9,/players/s/smithca03.shtml,18.666666666666668,21,1,LHP,-0.3,4,16,7.71,0,Yankees,NYY,18,16
2014,4,0,Jacob Lindgren,7,/players/l/lindgja01.shtml,7.0,5,0,LHP,0.0,3,4,5.14,0,Yankees,NYY,8,4
2014,63,35,Jordan Montgomery,35,/players/m/montgjo01.shtml,182.66666666666666,165,7,LHP,3.5,24,83,3.84,11,Yankees,NYY,167,78
2014,31,1,Jonathan Holder,105,/players/h/holdejo02.shtml,113.66666666666667,106,4,RHP,1.5,10,49,3.56,2,Yankees,NYY,105,45
2015,4,1,Chance Adams,3,/players/a/adamsch01.shtml,7.666666666666667,8,1,RHP,-0.2,3,7,7.04,0,Yankees,NYY,4,6
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,31,9,Brad Mills,14,/players/m/millsbr02.shtml,48.333333333333336,57,3,LHP,-1.6,10,46,8.57,2,Blue Jays,TOR,45,46
2007,228,74,Brett Cecil,330,/players/c/cecilbr01.shtml,656.0,651,42,LHP,7.1000000000000005,84,324,4.2,41,Blue Jays,TOR,585,306
2007,31,9,Brad Mills,14,/players/m/millsbr02.shtml,48.333333333333336,57,3,LHP,-1.6,10,46,8.57,2,Blue Jays,TOR,45,46
2007,75,23,Marc Rzepczynski,68,/players/r/rzepcma01.shtml,164.33333333333334,151,11,LHP,2.0999999999999996,17,80,4.0,8,Blue Jays,TOR,150,73
2008,4,0,Evan Crawford,10,/players/c/crawfev01.shtml,8.0,10,0,LHP,-0.1,3,6,6.75,0,Blue Jays,TOR,5,6
2008,2,0,Danny Farquhar,3,/players/f/farquda01.shtml,2.0,4,0,RHP,-0.1,0,4,13.5,0,Blue Jays,TOR,1,3
2008,1,0,Dustin Antolin,1,/players/a/antoldu01.shtml,2.0,4,0,RHP,-0.1,1,3,13.5,0,Blue Jays,TOR,1,3
2009,26,6,Chad Jenkins,46,/players/j/jenkich01.shtml,100.66666666666667,100,4,RHP,1.5,11,41,3.31,3,Blue Jays,TOR,51,37
2009,98,0,Aaron Loup,369,/players/l/loupaa01.shtml,318.6666666666667,307,20,LHP,4.199999999999999,25,138,3.47,12,Blue Jays,TOR,297,123
2009,128,73,Drew Hutchison,76,/players/h/hutchdr01.shtml,406.3333333333333,424,21,RHP,0.2999999999999998,57,233,4.92,30,Blue Jays,TOR,374,222
2009,69,0,Ryan Tepera,193,/players/t/teperry01.shtml,193.66666666666666,152,9,RHP,3.0,25,84,3.49,12,Blue Jays,TOR,189,75
2010,194,69,Aaron Sanchez,123,/players/s/sanchaa01.shtml,458.3333333333333,397,19,RHP,9.2,42,195,3.44,29,Blue Jays,TOR,359,175
2010,2,0,Sam Dyson,2,/players/d/dysonsa01.shtml,0.6666666666666666,4,0,RHP,-0.2,0,3,40.5,0,Blue Jays,TOR,1,3
