drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2007,0,0,Tyson Brummett,1,/players/b/brummty01.shtml,0.6666666666666666,2,0,RHP,0.0,0,0,0.0,0,Phillies,PHI,2,0
2007,77,0,Justin De Fratus,191,/players/d/defraju01.shtml,194.0,190,6,RHP,0.8,16,99,4.08,7,Phillies,PHI,170,88
2007,95,0,Jake Diekman,191,/players/d/diekmja01.shtml,173.33333333333334,165,11,LHP,-0.2,9,91,3.84,9,Phillies,PHI,225,74
2008,97,46,Vance Worley,53,/players/w/worleva01.shtml,277.6666666666667,278,13,RHP,4.7,23,118,3.5,18,Phillies,PHI,238,108
2008,41,20,Jonathan Pettibone,20,/players/p/pettijo02.shtml,109.33333333333333,126,5,RHP,0.9,11,60,4.45,5,Phillies,PHI,72,54
2008,40,0,Michael Stutes,79,/players/s/sttuemi01.shtml,85.33333333333333,70,3,RHP,0.4,8,42,4.01,9,Phillies,PHI,72,38
2008,30,1,B.J. Rosenberg,57,/players/r/rosenbj01.shtml,56.666666666666664,58,2,RHP,-0.7,9,37,5.72,4,Phillies,PHI,52,36
2008,23,0,Michael Schwimer,47,/players/s/schwimi01.shtml,48.666666666666664,45,2,RHP,-0.1,5,26,4.62,3,Phillies,PHI,52,25
2008,32,17,Tyler Cloyd,19,/players/c/cloydty01.shtml,93.33333333333333,116,9,RHP,-0.8,15,63,5.98,4,Phillies,PHI,71,62
2010,61,35,David Buchanan,35,/players/b/buchada01.shtml,192.33333333333334,229,17,RHP,0.0,24,115,5.01,8,Phillies,PHI,115,107
2010,21,0,Mario Hollands,50,/players/h/hollama01.shtml,47.0,45,2,LHP,0.0,3,25,4.4,2,Phillies,PHI,35,23
2011,86,36,Adam Morgan,142,/players/m/morgaad01.shtml,301.6666666666667,329,23,LHP,1.1,52,176,4.89,10,Phillies,PHI,257,164
2011,36,0,Ken Giles,113,/players/g/gileske01.shtml,115.66666666666667,84,4,RHP,3.7,3,30,1.56,9,Phillies,PHI,151,20
2011,24,0,Yacksel Rios,49,/players/r/riosya01.shtml,52.333333333333336,58,2,RHP,-0.4,10,36,6.02,4,Phillies,PHI,53,35
2011,15,0,Colton Murray,32,/players/m/murraco02.shtml,39.333333333333336,45,2,RHP,-0.5,8,27,6.18,1,Phillies,PHI,40,27
2011,7,0,Jesen Therrien,15,/players/d/dygesje01.shtml,18.333333333333332,24,0,RHP,-0.4,5,17,8.35,0,Phillies,PHI,10,17
2012,19,0,Hoby Milner,47,/players/m/milneho01.shtml,36.0,36,0,LHP,1.0,3,11,2.75,0,Phillies,PHI,26,11
2012,3,1,Drew Anderson,7,/players/a/anderdr02.shtml,15.0,23,1,RHP,-0.1,0,14,7.8,0,Phillies,PHI,13,13
2013,39,11,Mark Leiter,39,/players/l/leitema02.shtml,107.33333333333333,112,7,RHP,-0.6,23,76,5.03,3,Phillies,PHI,97,60
2014,155,93,Aaron Nola,93,/players/n/nolaaa01.shtml,569.0,493,28,RHP,16.4,56,223,3.35,41,Phillies,PHI,597,212
2014,12,0,Austin Davis,32,/players/d/davisau01.shtml,34.666666666666664,35,2,LHP,0.2,4,20,4.15,1,Phillies,PHI,38,16
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,5,0,Brett Sinkbeil,3,/players/s/sinkbbr01.shtml,2.0,2,0,RHP,-0.2,0,3,13.5,0,Marlins,FLA,1,3
2006,4,0,Chris Hatcher,11,/players/h/hatchch02.shtml,10.333333333333334,14,0,C,-0.2,2,8,6.97,0,Marlins,FLA,8,8
2006,12,3,Graham Taylor,3,/players/t/taylogr01.shtml,11.0,16,2,LHP,-0.5,0,14,8.18,0,Marlins,FLA,5,10
2006,14,1,Jay Buente,9,/players/b/buentja01.shtml,14.0,21,1,RHP,-0.3,0,12,7.07,0,Marlins,FLA,10,11
2006,19,14,Alex Sanabia,18,/players/s/sanabal01.shtml,83.33333333333333,87,3,RHP,1.4,8,36,3.67,5,Marlins,FLA,55,34
2007,20,0,Steve Cishek,48,/players/c/cishest01.shtml,59.0,46,1,RHP,1.4,1,18,2.44,2,Marlins,FLA,58,16
2008,35,12,Brad Hand,12,/players/h/handbr01.shtml,60.0,53,8,LHP,0.5,10,32,4.2,1,Marlins,FLA,38,28
2008,5,1,Elih Villanueva,1,/players/v/villael01.shtml,3.0,5,1,RHP,-0.4,1,8,24.0,0,Marlins,FLA,2,8
2009,173,0,AJ Ramos,325,/players/r/ramosaj01.shtml,327.3333333333333,229,16,RHP,6.5,18,108,2.78,15,Marlins,MIA,379,101
2010,5,0,Austin Brice,15,/players/b/briceau01.shtml,14.0,9,1,RHP,-0.4,2,12,7.07,0,Marlins,MIA,14,11
2011,140,76,Jose Fernandez,76,/players/f/fernajo02.shtml,471.3333333333333,357,17,RHP,12.8,31,150,2.58,38,Marlins,MIA,589,135
2011,143,56,Adam Conley,114,/players/c/conlead01.shtml,353.6666666666667,341,19,LHP,0.5,44,186,4.53,23,Marlins,MIA,305,178
2011,6,3,Jake Esch,3,/players/e/eschja01.shtml,13.0,17,1,2B,-0.1,4,8,5.54,0,Marlins,MIA,10,8
2012,7,5,Andrew Heaney,7,/players/h/heanean01.shtml,29.333333333333332,32,3,LHP,-0.3,6,19,5.83,0,Marlins,MIA,20,19
2012,45,0,Drew Steckenrider,108,/players/s/steckdr01.shtml,99.33333333333333,85,5,RHP,0.6,11,42,3.35,5,Marlins,MIA,128,37
2012,38,0,Nick Wittgren,118,/players/w/wittgni01.shtml,127.66666666666667,125,5,RHP,1.0,12,53,3.6,9,Marlins,MIA,116,51
2012,64,0,Brian Ellington,97,/players/e/ellinbr02.shtml,102.66666666666667,92,4,RHP,-0.4,10,59,4.65,7,Marlins,MIA,98,53
2014,34,11,Dillon Peters,13,/players/p/peterdi01.shtml,59.0,66,4,LHP,-0.6,7,40,6.1,3,Marlins,MIA,44,40
2015,14,0,Ben Meyer,13,/players/m/meyerbe02.shtml,19.0,26,0,RHP,-0.8,2,23,10.42,0,Marlins,MIA,9,22
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,6,0,Jeremy Jeffress,10,/players/j/jeffrje01.shtml,10.0,8,0,RHP,7.7,0,4,2.7,1,Brewers,MIL,8,3
2006,15,0,Mike McClendon,35,/players/m/mcclemi01.shtml,48.666666666666664,50,0,RHP,0.2,4,23,3.88,5,Brewers,MIL,35,21
2007,21,7,Donovan Hand,31,/players/h/handdo01.shtml,68.33333333333333,71,5,RHP,0.6,10,29,3.69,1,Brewers,MIL,37,28
2008,22,0,Rob Wooten,71,/players/w/wootero01.shtml,68.0,74,5,RHP,-0.3,3,38,5.03,4,Brewers,MIL,53,38
2009,11,6,Hiram Burgos,6,/players/b/burgohi01.shtml,29.333333333333332,38,2,RHP,-0.8,5,23,6.44,1,Brewers,MIL,18,21
2009,34,9,Tyler Cravy,34,/players/c/cravyty01.shtml,71.0,68,9,RHP,0.0,8,39,4.56,0,Brewers,MIL,57,36
2009,105,56,Mike Fiers,71,/players/f/fiersmi01.shtml,341.6666666666667,318,28,RHP,4.4,41,152,3.66,21,Brewers,MIL,349,139
2010,223,104,Jimmy Nelson,109,/players/n/nelsoji02.shtml,611.3333333333334,604,44,RHP,4.9,65,315,4.12,33,Brewers,MIL,552,280
2010,91,10,Tyler Thornburg,144,/players/t/thornty01.shtml,219.66666666666666,170,9,RHP,4.1,23,83,2.87,14,Brewers,MIL,220,70
2011,65,27,Taylor Jungmann,30,/players/j/jungmta01.shtml,146.66666666666666,138,13,RHP,0.8,15,80,4.54,9,Brewers,MIL,126,74
2011,19,2,Jorge Lopez,13,/players/l/lopezjo02.shtml,31.666666666666668,34,2,RHP,0.3,1,13,3.69,1,Brewers,MIL,25,13
2011,13,0,David Goforth,31,/players/g/goforda01.shtml,36.333333333333336,50,0,RHP,-0.5,7,27,5.94,1,Brewers,MIL,33,24
2011,62,0,Jacob Barnes,149,/players/b/barneja01.shtml,147.33333333333334,132,6,RHP,0.8,13,68,3.54,3,Brewers,MIL,153,58
2012,7,3,Tyler Wagner,3,/players/w/wagnety01.shtml,13.666666666666666,22,2,RHP,-0.3,1,11,7.24,0,Brewers,MIL,5,11
2012,3,0,Damien Magnifico,3,/players/m/magnida01.shtml,3.0,2,0,RHP,0.0,0,2,6.0,0,Brewers,MIL,0,2
2012,46,34,Brent Suter,56,/players/s/suterbr01.shtml,204.66666666666666,210,11,LHP,2.0,29,96,3.91,13,Brewers,MIL,163,89
2013,27,0,Taylor Williams,61,/players/w/willita01.shtml,57.666666666666664,57,3,RHP,-0.2,6,29,4.06,1,Brewers,MIL,61,26
2014,28,12,Brandon Woodruff,27,/players/w/woodrbr01.shtml,85.33333333333333,79,3,RHP,0.8,9,41,4.22,5,Brewers,MIL,79,40
2016,11,0,Corbin Burnes,30,/players/b/burneco01.shtml,38.0,27,0,RHP,0.7,4,11,2.61,7,Brewers,MIL,35,11
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,265,83,Jeff Samardzija,206,/players/s/samarje01.shtml,666.0,621,42,RHP,5.6,68,330,3.97,31,Cubs,CHC,639,294
2006,24,0,Blake Parker,74,/players/p/parkebl01.shtml,73.33333333333333,73,3,C,0.3,10,37,3.68,2,Cubs,CHC,85,30
2007,82,5,James Russell,316,/players/r/russeja02.shtml,272.0,268,16,LHP,0.3,38,137,3.87,10,Cubs,CHC,203,117
2007,34,1,Andrew Cashner,60,/players/c/cashnan01.shtml,65.0,58,6,RHP,0.3,9,33,4.29,2,Cubs,CHC,58,31
2008,34,1,Andrew Cashner,60,/players/c/cashnan01.shtml,65.0,58,6,RHP,0.3,9,33,4.29,2,Cubs,CHC,58,31
2008,7,0,Chris Carpenter,10,/players/c/carpech02.shtml,9.666666666666666,12,0,RHP,0.2,1,3,2.79,0,Cubs,CHC,8,3
2008,83,26,Casey Coleman,48,/players/c/colemca01.shtml,165.66666666666666,195,13,RHP,-0.7,18,109,5.76,7,Cubs,CHC,118,106
2008,12,0,Jeff Beliveau,22,/players/b/belivje01.shtml,17.666666666666668,21,0,LHP,0.0,5,9,4.58,1,Cubs,CHC,17,9
2009,40,20,Chris Rusin,24,/players/r/rusinch01.shtml,108.66666666666667,120,9,LHP,0.1,13,62,4.97,4,Cubs,CHC,65,60
2009,19,5,Brooks Raley,14,/players/r/raleybr01.shtml,38.333333333333336,44,2,LHP,-0.9,9,32,7.04,1,Cubs,CHC,30,30
2010,4,1,Eric Jokisch,4,/players/j/jokiser01.shtml,14.333333333333334,18,0,LHP,0.3,3,6,1.88,0,Cubs,CHC,10,3
2010,14,5,Dallas Beeler,5,/players/b/beeleda01.shtml,19.333333333333332,24,3,RHP,-0.4,0,16,6.05,0,Cubs,CHC,13,13
2011,11,0,Dillon Maples,15,/players/m/mapledi01.shtml,10.666666666666666,13,0,RHP,-0.5,2,13,10.97,1,Cubs,CHC,20,13
2012,1,0,Pierce Johnson,1,/players/j/johnspi01.shtml,1.0,2,0,RHP,-0.1,0,2,0.0,0,Cubs,CHC,2,0
2012,3,1,Duane Underwood Jr.,1,/players/u/underdu01.shtml,4.0,2,1,RHP,0.2,1,1,2.25,0,Cubs,CHC,3,1
2013,16,1,Rob Zastryzny,18,/players/z/zastrro01.shtml,34.666666666666664,37,0,LHP,0.3,2,19,4.41,2,Cubs,CHC,31,17
2014,5,0,James Norwood,11,/players/n/norwoja01.shtml,11.0,14,1,RHP,-0.1,0,7,4.09,0,Cubs,CHC,10,5
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,19,0,Jordan Smith,54,/players/s/smithjo06.shtml,62.0,77,2,RHP,-0.5,10,34,4.94,3,Reds,CIN,39,34
2006,6,0,Josh Roenicke,16,/players/r/roenijo01.shtml,16.333333333333332,19,0,RHP,0.2,0,7,3.86,0,Reds,CIN,20,7
2007,6,0,Jeremy Horst,12,/players/h/horstje01.shtml,15.333333333333334,18,0,LHP,0.1,2,6,2.93,0,Reds,CIN,9,5
2007,24,0,Curtis Partch,20,/players/p/partccu01.shtml,30.333333333333332,19,1,RHP,-0.1,8,16,4.75,1,Reds,CIN,22,16
2008,22,1,Pedro Villarreal,44,/players/v/villape01.shtml,71.33333333333333,81,6,RHP,-0.2,11,39,4.29,1,Reds,CIN,46,34
2008,0,0,Justin Freeman,1,/players/f/freemju02.shtml,1.0,2,0,RHP,-0.1,1,2,18.0,0,Reds,CIN,0,2
2009,260,163,Mike Leake,168,/players/l/leakemi01.shtml,1028.3333333333333,1051,47,RHP,8.2,126,474,3.87,62,Reds,CIN,701,442
2009,8,0,Nick Christiani,13,/players/c/chrisni01.shtml,17.0,14,1,RHP,-0.1,3,9,4.76,0,Reds,CIN,9,9
2010,6,0,Drew Hayes,6,/players/h/hayesdr01.shtml,9.666666666666666,15,0,RHP,-0.4,3,10,8.38,0,Reds,CIN,8,9
2010,47,9,Josh Smith,41,/players/s/smithjo07.shtml,92.33333333333333,99,7,RHP,-0.5,16,59,5.46,3,Reds,CIN,78,56
2011,84,22,Robert Stephenson,37,/players/s/stephro01.shtml,133.33333333333334,139,11,RHP,-0.9,23,90,5.47,7,Reds,CIN,128,81
2011,148,30,Tony Cingrani,164,/players/c/cingrto01.shtml,292.6666666666667,248,20,LHP,2.1,44,136,4.03,11,Reds,CIN,302,131
2011,65,14,Amir Garrett,82,/players/g/garream01.shtml,133.66666666666666,130,10,LHP,-1.1,31,90,5.93,4,Reds,CIN,134,88
2011,90,41,Sal Romano,55,/players/r/romansa01.shtml,232.66666666666666,246,19,RHP,0.0,32,141,4.99,13,Reds,CIN,178,129
2012,15,8,Jon Moscot,8,/players/m/moscojo01.shtml,33.0,37,4,RHP,-0.6,12,28,6.82,1,Reds,CIN,16,25
2012,24,4,Jackson Stephens,36,/players/s/stephja01.shtml,63.333333333333336,69,4,RHP,-0.6,13,43,4.83,4,Reds,CIN,54,34
2013,138,24,Michael Lorenzen,177,/players/l/lorenmi01.shtml,327.3333333333333,328,16,RHP,2.1,38,161,4.21,18,Reds,CIN,265,153
2013,2,0,Zack Weiss,1,/players/w/weissza01.shtml,0.0,2,0,RHP,0.0,2,4,inf,0,Reds,CIN,0,4
2013,64,27,Tyler Mahle,27,/players/m/mahlety01.shtml,132.0,144,11,RHP,0.6,22,74,4.64,8,Reds,CIN,124,68
2013,2,2,Daniel Wright,4,/players/w/wrighda04.shtml,13.0,25,2,RHP,-0.7,2,16,7.62,0,Reds,CIN,6,11
2013,3,0,Layne Somsen,2,/players/s/somsela01.shtml,2.3333333333333335,6,0,RHP,-0.2,2,5,19.29,0,Reds,CIN,2,5
2015,12,0,Tanner Rainey,8,/players/r/raineta01.shtml,7.0,13,0,RHP,-1.0,4,19,24.43,0,Reds,CIN,7,19
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,45,22,Brad Lincoln,51,/players/l/lincobr01.shtml,159.66666666666666,171,9,RHP,0.6,21,88,4.62,7,Pirates,PIT,114,82
2006,102,0,Jared Hughes,313,/players/h/hugheja02.shtml,309.3333333333333,294,13,RHP,3.8,23,118,2.82,15,Pirates,PIT,189,97
2006,5,0,Michael Crotta,15,/players/c/crottmi01.shtml,10.666666666666666,20,1,RHP,-0.6,2,11,9.28,0,Pirates,PIT,7,11
2007,9,0,Daniel Moskos,31,/players/m/moskoda01.shtml,24.333333333333332,29,1,LHP,0.2,0,11,2.96,1,Pirates,PIT,11,8
2007,0,0,Duke Welker,2,/players/w/welkedu01.shtml,1.3333333333333333,0,0,RHP,0.0,0,0,0.0,0,Pirates,PIT,1,0
2007,121,0,Tony Watson,450,/players/w/watsoto01.shtml,433.0,350,16,LHP,9.6,41,137,2.68,31,Pirates,PIT,380,129
2007,7,3,Kyle McPherson,10,/players/m/mcpheky01.shtml,26.333333333333332,24,2,RHP,0.5,3,8,2.73,0,Pirates,PIT,21,8
2008,61,0,Justin Wilson,136,/players/w/wilsoju10.shtml,138.33333333333334,109,5,LHP,1.5,8,48,2.99,9,Pirates,PIT,127,46
2009,2,0,Vic Black,3,/players/b/blackvi01.shtml,4.0,6,0,RHP,0.0,0,2,4.5,0,Pirates,PIT,3,2
2009,4,1,Phil Irwin,1,/players/i/irwinph01.shtml,4.666666666666667,6,0,RHP,-0.2,0,5,7.71,0,Pirates,PIT,4,4
2010,109,75,Jameson Taillon,75,/players/t/taillja01.shtml,428.6666666666667,430,21,RHP,8.5,44,178,3.63,27,Pirates,PIT,389,173
2010,26,15,Nick Kingham,18,/players/k/kinghni01.shtml,76.0,79,7,RHP,-0.5,18,50,5.21,5,Pirates,PIT,69,44
2010,23,15,Brandon Cumpton,22,/players/c/cumptbr01.shtml,100.66666666666667,108,5,RHP,0.1,3,49,4.02,5,Pirates,PIT,68,45
2010,9,1,Casey Sadler,9,/players/s/sadleca02.shtml,19.666666666666668,25,1,RHP,-0.4,1,18,6.86,1,Pirates,PIT,15,15
2011,203,127,Gerrit Cole,127,/players/c/colege01.shtml,782.3333333333334,749,42,RHP,11.4,67,327,3.5,59,Pirates,PIT,734,304
2011,91,17,Tyler Glasnow,56,/players/g/glasnty01.shtml,141.33333333333334,150,11,RHP,-1.7,20,102,5.79,3,Pirates,PIT,152,91
2011,23,4,Clay Holmes,11,/players/h/holmecl01.shtml,26.333333333333332,30,3,RHP,-0.5,2,21,6.84,1,Pirates,PIT,21,20
2013,125,61,Chad Kuhl,61,/players/k/kuhlch01.shtml,313.0,321,20,RHP,2.6,38,162,4.37,18,Pirates,PIT,276,152
2014,5,0,Alex McRae,2,/players/m/mcraeal01.shtml,6.333333333333333,8,1,RHP,-0.1,0,4,5.68,0,Pirates,PIT,5,4
2015,8,0,Tanner Anderson,6,/players/a/anderta01.shtml,11.333333333333334,15,0,RHP,-0.3,1,10,6.35,1,Pirates,PIT,6,8
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,9,3,Adam Ottavino,5,/players/o/ottavad01.shtml,22.333333333333332,37,2,RHP,-0.6,5,21,8.46,0,Cardinals,STL,12,21
2006,37,0,Chris Perez,70,/players/p/perezch01.shtml,65.33333333333333,51,4,RHP,0.4,8,30,3.72,4,Cardinals,STL,72,27
2006,21,4,P.J. Walters,19,/players/w/waltepj01.shtml,50.0,56,0,RHP,-1.3,12,43,7.38,2,Cardinals,STL,39,41
2007,1,0,Clayton Mortensen,1,/players/m/mortecl01.shtml,3.0,5,0,RHP,-0.2,1,6,6.0,0,Cardinals,STL,2,2
2007,2,0,Jess Todd,1,/players/t/toddje01.shtml,1.6666666666666665,3,0,RHP,-0.1,1,2,10.8,0,Cardinals,STL,2,2
2007,1,0,C.J. Fick,2,/players/f/fickch01.shtml,1.6666666666666665,3,0,RHP,0.0,0,1,5.4,0,Cardinals,STL,0,1
2007,34,0,Sam Freeman,81,/players/f/freemsa01.shtml,70.33333333333333,59,2,LHP,0.6,4,29,3.33,3,Cardinals,STL,61,26
2007,10,0,Michael Blazek,11,/players/b/blazemi01.shtml,10.333333333333334,10,0,RHP,-0.2,2,8,6.97,0,Cardinals,STL,10,8
2008,369,161,Lance Lynn,183,/players/l/lynnla01.shtml,977.6666666666666,890,47,RHP,14.7,86,398,3.38,72,Cardinals,STL,919,367
2008,1,0,Eric Fornataro,8,/players/f/fornaer01.shtml,9.666666666666666,11,0,RHP,-0.1,0,6,4.66,0,Cardinals,STL,3,5
2008,13,0,Mitch Harris,26,/players/h/harrimi03.shtml,27.0,30,1,RHP,0.0,4,14,3.67,2,Cardinals,STL,15,11
2008,34,0,Sam Freeman,81,/players/f/freemsa01.shtml,70.33333333333333,59,2,LHP,0.6,4,29,3.33,3,Cardinals,STL,61,26
2008,114,0,Kevin Siegrist,269,/players/s/siegrke01.shtml,240.66666666666666,179,10,LHP,4.4,24,84,3.03,18,Cardinals,STL,279,81
2009,134,63,Shelby Miller,69,/players/m/millesh01.shtml,370.0,321,18,RHP,5.6,42,145,3.33,26,Cardinals,STL,312,137
2009,90,38,Joe Kelly,68,/players/k/kellyjo05.shtml,266.0,277,14,RHP,3.2,23,111,3.25,17,Cardinals,STL,179,96
2009,143,0,Trevor Rosenthal,328,/players/r/rosentr01.shtml,325.0,281,24,RHP,5.8,17,115,2.99,11,Cardinals,STL,435,108
2009,12,0,Keith Butler,18,/players/b/butleke01.shtml,22.0,19,0,RHP,-0.1,0,15,6.14,0,Cardinals,STL,18,15
2010,38,0,Sam Tuivailala,96,/players/t/tuivasa01.shtml,98.66666666666667,100,7,SS,0.8,11,41,3.65,6,Cardinals,STL,88,40
2010,5,3,John Gast,3,/players/g/gastjo01.shtml,12.333333333333334,11,0,LHP,0.0,1,7,5.11,2,Cardinals,STL,8,7
2010,84,20,Tyler Lyons,147,/players/l/lyonsty01.shtml,268.3333333333333,239,10,LHP,0.7,36,132,4.09,12,Cardinals,STL,272,122
2010,4,0,Josh Lucas,5,/players/l/lucasjo02.shtml,7.333333333333333,7,0,RHP,0.1,2,3,3.68,0,Cardinals,STL,7,3
2010,7,0,Dean Kiekhefer,26,/players/k/kiekhde01.shtml,22.0,24,0,LHP,0.0,2,13,5.32,0,Cardinals,STL,14,13
2011,45,0,Seth Maness,244,/players/m/manesse01.shtml,237.33333333333334,253,10,RHP,2.1,20,95,3.19,17,Cardinals,STL,152,84
2011,6,0,Ryan Sherriff,18,/players/s/sherrry01.shtml,20.0,21,1,LHP,0.1,3,9,4.05,2,Cardinals,STL,18,9
2012,10,6,Tim Cooney,6,/players/c/cooneti01.shtml,31.333333333333332,28,0,LHP,0.6,3,12,3.16,1,Cardinals,STL,29,11
2013,22,7,Marco Gonzales,12,/players/g/gonzama02.shtml,40.666666666666664,45,2,LHP,-0.2,8,25,5.53,4,Cardinals,STL,34,25
2013,22,1,Mike Mayers,57,/players/m/mayermi01.shtml,61.666666666666664,83,2,RHP,-1.3,12,52,7.15,3,Cardinals,STL,54,49
2014,83,43,Luke Weaver,52,/players/w/weavelu01.shtml,233.0,255,17,RHP,-1.0,33,139,4.79,15,Cardinals,STL,238,124
2014,69,33,Jack Flaherty,34,/players/f/flaheja01.shtml,172.33333333333334,131,11,RHP,2.3,24,74,3.71,8,Cardinals,STL,202,71
2014,32,11,Austin Gomber,29,/players/g/gombeau01.shtml,75.0,81,2,LHP,0.0,7,40,4.44,6,Cardinals,STL,67,37
2014,13,4,Daniel Ponce de Leon,11,/players/p/ponceda01.shtml,33.0,24,2,RHP,0.7,2,10,2.73,0,Cardinals,STL,31,10
2015,45,0,Jordan Hicks,73,/players/h/hicksjo03.shtml,77.66666666666667,59,4,RHP,0.3,2,33,3.59,3,Cardinals,STL,70,31
2016,18,0,Dakota Hudson,26,/players/h/hudsoda02.shtml,27.333333333333332,19,1,RHP,0.5,0,9,2.63,4,Cardinals,STL,19,8
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,536,316,Clayton Kershaw,318,/players/k/kershcl01.shtml,2096.3333333333335,1570,69,LHP,62.1,145,609,2.39,153,Dodgers,LAD,2275,557
2008,28,0,Josh Lindblom,75,/players/l/lindbjo01.shtml,77.33333333333333,63,2,RHP,1.5,9,25,2.91,3,Dodgers,LAD,71,25
2008,40,16,Nathan Eovaldi,20,/players/e/eovalna01.shtml,91.0,91,8,RHP,1.1,7,41,3.96,2,Dodgers,LAD,57,40
2008,8,0,Danny Coulombe,10,/players/c/couloda01.shtml,12.666666666666666,14,0,LHP,-0.2,1,10,6.39,0,Dodgers,LAD,11,9
2008,28,6,Matt Magill,6,/players/m/magilma01.shtml,27.666666666666668,27,2,RHP,-1.0,6,25,6.51,0,Dodgers,LAD,26,20
2010,1,1,Zach Lee,1,/players/l/leeza01.shtml,4.666666666666667,11,1,RHP,-0.3,1,7,13.5,0,Dodgers,LAD,3,7
2010,3,1,Red Patterson,1,/players/p/pattere02.shtml,4.666666666666667,2,0,RHP,0.2,0,1,1.93,0,Dodgers,LAD,1,1
2010,22,0,Shawn Tolleson,41,/players/t/tollesh01.shtml,37.666666666666664,30,1,RHP,0.1,4,19,4.3,3,Dodgers,LAD,39,18
2012,30,0,Paco Rodriguez,124,/players/r/rodrist02.shtml,85.33333333333333,55,5,LHP,2.1,6,25,2.53,4,Dodgers,LAD,91,24
2012,4,0,Onelki Garcia,3,/players/g/garcion01.shtml,1.3333333333333333,1,0,LHP,-0.1,1,2,13.5,0,Dodgers,LAD,1,2
2012,71,37,Ross Stripling,104,/players/s/stripro01.shtml,296.3333333333333,288,20,RHP,3.9,38,119,3.52,16,Dodgers,LAD,284,116
2012,8,0,Danny Coulombe,10,/players/c/couloda01.shtml,12.666666666666666,14,0,LHP,-0.2,1,10,6.39,0,Dodgers,LAD,11,9
2013,7,4,Jose De Leon,4,/players/d/deleojo03.shtml,17.0,19,0,RHP,-0.6,5,17,6.35,2,Dodgers,LAD,15,12
2014,40,11,Brock Stewart,33,/players/s/stewabr01.shtml,80.0,84,3,RHP,-0.7,15,51,4.84,2,Dodgers,LAD,68,43
2014,12,3,Caleb Ferguson,29,/players/f/ferguca01.shtml,49.0,43,2,LHP,0.3,8,21,3.49,7,Dodgers,LAD,59,19
2015,45,23,Walker Buehler,32,/players/b/buehlwa01.shtml,146.66666666666666,106,5,RHP,3.2,14,51,2.95,9,Dodgers,LAD,163,48
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,113,52,Wade LeBlanc,54,/players/l/leblawa01.shtml,293.3333333333333,305,22,LHP,0.2,44,149,4.54,17,Padres,SDP,205,148
2006,135,72,Mat Latos,72,/players/l/latosma01.shtml,429.6666666666667,361,29,RHP,5.1,39,174,3.37,27,Padres,SDP,413,161
2007,58,25,Cory Luebke,55,/players/l/luebkco01.shtml,188.33333333333334,150,12,LHP,2.5,16,72,3.25,10,Padres,SDP,195,68
2007,9,0,Colt Hynes,22,/players/h/hynesco01.shtml,17.0,25,0,LHP,-0.7,3,17,9.0,0,Padres,SDP,13,17
2008,80,18,Anthony Bass,75,/players/b/bassan01.shtml,187.33333333333334,181,8,RHP,0.3,17,94,4.08,4,Padres,SDP,135,85
2008,39,0,Nick Vincent,161,/players/v/vinceni01.shtml,150.66666666666666,121,6,RHP,2.6,8,46,2.63,9,Padres,SDP,161,44
2008,59,0,Brad Brach,109,/players/b/brachbr01.shtml,104.66666666666667,95,6,RHP,-0.0,14,48,3.7,3,Padres,SDP,117,43
2009,16,0,Miles Mikolas,27,/players/m/mikolmi01.shtml,34.0,32,1,RHP,0.2,4,15,3.44,2,Padres,SDP,24,13
2010,24,0,Josh Spence,51,/players/s/spencjo01.shtml,40.0,27,3,LHP,0.5,3,14,3.15,0,Padres,SDP,41,14
2011,76,0,Kevin Quackenbush,193,/players/q/quackke01.shtml,198.66666666666666,181,14,RHP,1.2,21,93,4.08,13,Padres,SDP,179,90
2011,55,24,Colin Rea,25,/players/r/reaco01.shtml,131.0,130,7,RHP,-0.4,14,79,4.81,7,Padres,SDP,102,70
2011,21,7,Burch Smith,10,/players/s/smithbu03.shtml,36.333333333333336,39,3,RHP,-0.7,9,26,6.44,1,Padres,SDP,46,26
2012,10,3,Walker Lockett,4,/players/l/lockewa01.shtml,15.0,22,3,RHP,-0.7,4,16,9.6,0,Padres,SDP,12,16
2013,10,0,Adam Cimber,42,/players/c/cimbead01.shtml,48.333333333333336,42,5,RHP,0.5,2,19,3.17,3,Padres,SDP,51,17
2013,2,1,Kyle Lloyd,1,/players/l/lloydky01.shtml,4.0,6,0,RHP,-0.1,1,4,9.0,0,Padres,SDP,2,4
